key,vector
the,10.170212765957446
and,10.446808510638299
with,2.574468085106383
Apple,0.10638297872340426
in,4.382978723404255
all,0.8297872340425532
portable,0.0425531914893617
iPad,0.0425531914893617
M4,0.0425531914893617
new,0.5319148936170213
s,1.3617021276595744
stunning,0.0425531914893617
Retina,0.0425531914893617
advanced,0.2127659574468085
display.,0.0425531914893617
performance,0.0425531914893617
chip.,0.0425531914893617
And,0.10638297872340426
day,0.0851063829787234
battery,0.0425531914893617
life.,0.10638297872340426
for,3.978723404255319
to,7.553191489361702
like,0.3617021276595745
Find,0.14893617021276595
My,0.0425531914893617
Introducing,0.06382978723404255
unbelievably,0.02127659574468085
thin,0.02127659574468085
Pro,0.02127659574468085
chip,,0.02127659574468085
redesigned,0.0425531914893617
Air,0.02127659574468085
two,0.19148936170212766
sizes,,0.02127659574468085
Pencil,0.02127659574468085
Pro.,0.02127659574468085
It,0.1702127659574468
thinnest,0.02127659574468085
product,0.0425531914893617
yet,0.02127659574468085
more,1.0
powerful,0.0851063829787234
than,0.40425531914893614
ever.,0.02127659574468085
Incredibly,0.02127659574468085
a,4.425531914893617
design.,0.02127659574468085
Ultra,0.02127659574468085
XDR,,0.02127659574468085
world,0.40425531914893614
most,0.2553191489361702
Outrageous,0.02127659574468085
game-changing,0.02127659574468085
graphics,0.0425531914893617
Now,0.06382978723404255
available,0.14893617021276595
an,1.2340425531914894
11-inch,0.02127659574468085
all-new,0.02127659574468085
13-inch,0.02127659574468085
model,0.06382978723404255
Liquid,0.02127659574468085
Supercharged,0.02127659574468085
M2,0.02127659574468085
New,0.40425531914893614
landscape,0.02127659574468085
front,0.10638297872340426
camera,0.02127659574468085
Engineered,0.02127659574468085
limitless,0.02127659574468085
creativity,0.1276595744680851
bring,0.0425531914893617
ideas,0.06382978723404255
life,0.14893617021276595
never,0.0425531914893617
before.,0.0425531914893617
Intuitive,0.02127659574468085
precise,0.02127659574468085
control,0.0425531914893617
features,0.06382978723404255
squeeze,,0.02127659574468085
barrel,0.02127659574468085
roll,,0.02127659574468085
haptic,0.02127659574468085
feedback.,0.02127659574468085
now,0.2127659574468085
easy,0.0851063829787234
location,0.0425531914893617
app.,0.02127659574468085
Supported,0.0851063829787234
protocols:,0.0425531914893617
cards:,0.0425531914893617
range,0.3191489361702128
of,6.595744680851064
up,0.425531914893617
50,0.0851063829787234
meters,0.0425531914893617
SPI,,0.02127659574468085
UART,,0.02127659574468085
I2C,0.02127659574468085
USB,0.1276595744680851
converter,0.02127659574468085
Flashing,0.02127659574468085
debugging,0.02127659574468085
tools,0.0425531914893617
Fuzzing,0.02127659574468085
tool,0.06382978723404255
Completely,0.02127659574468085
Autonomous,0.02127659574468085
Frequency,0.02127659574468085
bands,0.02127659574468085
(depends,0.02127659574468085
on,1.9361702127659575
your,2.8085106382978724
